State/UTs_Code,District_Code,CD Block_Code,Town/Village_Code,Ward_Code,EB_Code,State/UTs_Name,District_Name,Level,Name,Total/Rural/Urban,No of Households,Total Population Person,Total Population Male,Total Population Female,Population in the age group 0-6 Person,Population in the age group 0-6 Male,Population in the age group 0-6 Female,Scheduled Castes population Person,Scheduled Castes population Male,Scheduled Castes population Female,Scheduled Tribes population Person,Scheduled Tribes population Male,Scheduled Tribes population Female,Literates Population Person,Literates Population Male,Literates Population Female,Illiterate Persons,Illiterate Male,Illiterate Female,Total Worker Population Person,Total Worker Population Male,Total Worker Population Female,Main Working Population Person,Main Working Population Male,Main Working Population Female,Main Cultivator Population Person,Main Cultivator Population Male,Main Cultivator Population Female,Main Agricultural Labourers Population Person,Main Agricultural Labourers Population Male,Main Agricultural Labourers Population Female,Main Household Industries Population Person,Main Household Industries Population Male,Main Household Industries Population Female,Main Other Workers Population Person,Main Other Workers Population Male,Main Other Workers Population Female,Marginal Worker Population Person,Marginal Worker Population Male,Marginal Worker Population Female,Marginal Cultivator Population Person,Marginal Cultivator Population Male,Marginal Cultivator Population Female,Marginal Agriculture Labourers Population Person,Marginal Agriculture Labourers Population Male,Marginal Agriculture Labourers Population Female,Marginal Household Industries Population Person,Marginal Household Industries Population Male,Marginal Household Industries Population Female,Marginal Other Workers Population Person,Marginal Other Workers Population Male,Marginal Other Workers Population Female,Marginal Worker Population 3_6 Person,Marginal Worker Population 3_6 Male,Marginal Worker Population 3_6 Female,Marginal Cultivator Population 3_6 Person,Marginal Cultivator Population 3_6 Male,Marginal Cultivator Population 3_6 Female,Marginal Agriculture Labourers Population 3_6 Person,Marginal Agriculture Labourers Population 3_6 Male,Marginal Agriculture Labourers Population 3_6 Female,Marginal Household Industries Population 3_6 Person,Marginal Household Industries Population 3_6 Male,Marginal Household Industries Population 3-6 Female,Marginal Other Workers Population Person 3_6 Person,Marginal Other Workers Population Person 3_6 Male,Marginal Other Workers Population Person 3_6 Female,Marginal Worker Population 0_3 Person,Marginal Worker Population 0_3 Male,Marginal Worker Population 0_3_Female,Marginal Cultivator Population 0_3 Person,Marginal Cultivator Population 0_3 Male,Marginal Cultivator Population 0_3_Female,Marginal Agriculture Labourers Population 0_3 Person,Marginal Agriculture Labourers Population 0_3 Male,Marginal Agriculture Labourers Population 0_3 Female,Marginal Household Industries Population 0_3 Person,Marginal Household Industries Population 0_3 Male,Marginal Household Industries Population 0_3 Female,Marginal Other Workers Population 0_3 Person,Marginal Other Workers Population 0_3 Male,Marginal Other Workers Population 0_3 Female,Non Working Population Person,Non Working Population Male,Non Working Population Female
05,061,0034,000000,0000,000000,UTTARAKHAND,Garhwal,CD BLOCK,Khirsu,Rural,6459,26731,13092,13639,2994,1587,1407,4614,2320,2294,59,32,27,20766,10922,9844,5965,2170,3795,9705,5919,3786,6161,4399,1762,1527,573,954,96,71,25,191,122,69,4347,3633,714,3544,1520,2024,2246,736,1510,367,209,158,169,82,87,762,493,269,2671,1135,1536,1818,575,1243,245,165,80,116,65,51,492,330,162,873,385,488,428,161,267,122,44,78,53,17,36,270,163,107,17026,7173,9853
05,061,0034,000000,0000,000000,UTTARAKHAND,Garhwal,CD BLOCK,Khirsu,Urban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05,061,0034,045438,0000,000000,UTTARAKHAND,Garhwal,VILLAGE,Aithna Dana,Rural,764,3246,1582,1664,340,196,144,331,159,172,7,3,4,2724,1362,1362,522,220,302,727,561,166,643,505,138,1,1,0,3,2,1,2,1,1,637,501,136,84,56,28,3,1,2,25,10,15,2,1,1,54,44,10,78,50,28,3,1,2,25,10,15,2,1,1,48,38,10,6,6,0,0,0,0,0,0,0,0,0,0,6,6,0,2519,1021,1498
05,061,0034,045439,0000,000000,UTTARAKHAND,Garhwal,VILLAGE,Khola,Rural,54,210,101,109,25,13,12,47,23,24,0,0,0,165,85,80,45,16,29,75,45,30,48,42,6,1,1,0,1,1,0,0,0,0,46,40,6,27,3,24,0,0,0,0,0,0,0,0,0,27,3,24,3,2,1,0,0,0,0,0,0,0,0,0,3,2,1,24,1,23,0,0,0,0,0,0,0,0,0,24,1,23,135,56,79
05,061,0034,045440,0000,000000,UTTARAKHAND,Garhwal,VILLAGE,Rawadi,Rural,185,826,439,387,105,55,50,70,40,30,0,0,0,681,376,305,145,63,82,211,185,26,199,174,25,4,4,0,0,0,0,2,2,0,193,168,25,12,11,1,1,1,0,0,0,0,0,0,0,11,10,1,12,11,1,1,1,0,0,0,0,0,0,0,11,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,615,254,361
05,061,0034,045441,0000,000000,UTTARAKHAND,Garhwal,VILLAGE,Srikot Gagnali,Rural,1523,6509,3362,3147,717,399,318,970,482,488,38,19,19,5498,2884,2614,1011,478,533,1856,1446,410,1623,1312,311,31,17,14,2,2,0,46,40,6,1544,1253,291,233,134,99,9,6,3,2,2,0,11,10,1,211,116,95,225,126,99,8,5,3,2,2,0,9,8,1,206,111,95,8,8,0,1,1,0,0,0,0,2,2,0,5,5,0,4653,1916,2737
05,061,0034,045442,0000,000000,UTTARAKHAND,Garhwal,VILLAGE,Kandi,Rural,31,148,85,63,26,16,10,0,0,0,0,0,0,117,68,49,31,17,14,41,33,8,21,17,4,0,0,0,0,0,0,0,0,0,21,17,4,20,16,4,1,1,0,1,0,1,0,0,0,18,15,3,17,14,3,1,1,0,1,0,1,0,0,0,15,13,2,3,2,1,0,0,0,0,0,0,0,0,0,3,2,1,107,52,55
05,061,0034,045443,0000,000000,UTTARAKHAND,Garhwal,VILLAGE,Harkandi,Rural,16,44,23,21,3,1,2,9,5,4,0,0,0,38,22,16,6,1,5,12,12,0,8,8,0,6,6,0,1,1,0,0,0,0,1,1,0,4,4,0,4,4,0,0,0,0,0,0,0,0,0,0,4,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,11,21
05,061,0034,045444,0000,000000,UTTARAKHAND,Garhwal,VILLAGE,Kweesu,Rural,10,47,25,22,5,4,1,16,9,7,5,3,2,38,21,17,9,4,5,22,13,9,10,9,1,0,0,0,0,0,0,0,0,0,10,9,1,12,4,8,7,3,4,0,0,0,0,0,0,5,1,4,12,4,8,7,3,4,0,0,0,0,0,0,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,12,13
05,061,0034,045445,0000,000000,UTTARAKHAND,Garhwal,VILLAGE,Dhikwal Gaon,Rural,46,190,95,95,18,11,7,0,0,0,0,0,0,151,82,69,39,13,26,106,52,54,60,40,20,22,9,13,0,0,0,1,0,1,37,31,6,46,12,34,44,10,34,0,0,0,0,0,0,2,2,0,36,11,25,34,9,25,0,0,0,0,0,0,2,2,0,10,1,9,10,1,9,0,0,0,0,0,0,0,0,0,84,43,41
